Date,PX_LAST,CHG_PCT_1D
30/11/24,4.64,-3.93
31/10/24,4.83,-5.85
30/09/24,5.13,-3.75
30/08/24,5.33,0
31/07/24,5.33,0
28/06/24,5.33,0
31/05/24,5.33,0
30/04/24,5.33,0
29/03/24,5.33,0
29/02/24,5.33,0
31/01/24,5.33,0
29/12/23,5.33,0
30/11/23,5.33,0
31/10/23,5.33,0
29/09/23,5.33,0
31/08/23,5.33,4.1
31/07/23,5.12,0.79
30/06/23,5.08,0.4
31/05/23,5.06,4.76
28/04/23,4.83,3.87
31/03/23,4.65,1.75
28/02/23,4.57,5.54
31/01/23,4.33,5.61
30/12/22,4.1,8.47
30/11/22,3.78,22.73
31/10/22,3.08,20.31
30/09/22,2.56,9.87
31/08/22,2.33,38.69
29/07/22,1.68,38.84
30/06/22,1.21,57.14
31/05/22,0.77,133.33
29/04/22,0.33,65
31/03/22,0.2,150
28/02/22,0.08,0
31/01/22,0.08,0
31/12/21,0.08,0
30/11/21,0.08,0
29/10/21,0.08,0
30/09/21,0.08,-11.11
31/08/21,0.09,-10
30/07/21,0.1,25
30/06/21,0.08,33.33
31/05/21,0.06,-14.29
30/04/21,0.07,0
31/03/21,0.07,-12.5
26/02/21,0.08,-11.11
29/01/21,0.09,0
31/12/20,0.09,0
30/11/20,0.09,0
30/10/20,0.09,0
30/09/20,0.09,-10
31/08/20,0.1,11.11
31/07/20,0.09,12.5
30/06/20,0.08,60
29/05/20,0.05,0
30/04/20,0.05,-92.31
31/03/20,0.65,-58.86
28/02/20,1.58,1.94
31/01/20,1.55,0
31/12/19,1.55,0
29/11/19,1.55,-15.3
31/10/19,1.83,-10.29
30/09/19,2.04,-4.23
30/08/19,2.13,-11.25
31/07/19,2.4,0.84
28/06/19,2.38,-0.42
31/05/19,2.39,-1.24
30/04/19,2.42,0.41
29/03/19,2.41,0.42
28/02/19,2.4,0
31/01/19,2.4,5.73
31/12/18,2.27,3.18
30/11/18,2.2,0.46
31/10/18,2.19,12.31
28/09/18,1.95,2.09
31/08/18,1.91,0
31/07/18,1.91,4.95
29/06/18,1.82,7.06
31/05/18,1.7,0.59
30/04/18,1.69,11.92
30/03/18,1.51,6.34
28/02/18,1.42,0.71
31/01/18,1.41,8.46
29/12/17,1.3,12.07
30/11/17,1.16,0.87
31/10/17,1.15,0
29/09/17,1.15,-0.86
31/08/17,1.16,0.87
31/07/17,1.15,10.58
30/06/17,1.04,14.29
31/05/17,0.91,1.11
28/04/17,0.9,13.92
31/03/17,0.79,19.7
28/02/17,0.66,1.54
31/01/17,0.65,20.37
30/12/16,0.54,31.71
30/11/16,0.41,2.5
31/10/16,0.4,0
30/09/16,0.4,0
31/08/16,0.4,2.56
29/07/16,0.39,2.63
30/06/16,0.38,2.7
31/05/16,0.37,0
29/04/16,0.37,2.78
31/03/16,0.36,-5.26
29/02/16,0.38,11.76
29/01/16,0.34,41.67
31/12/15,0.24,100
30/11/15,0.12,0
30/10/15,0.12,-14.29
30/09/15,0.14,0
31/08/15,0.14,7.69
31/07/15,0.13,0
30/06/15,0.13,8.33
29/05/15,0.12,0
30/04/15,0.12,9.09
31/03/15,0.11,0
27/02/15,0.11,0
30/01/15,0.11,-8.33
31/12/14,0.12,33.33
