Date,PX_LAST,PX_OPEN
30/11/24,6032.38,5723.22
31/10/24,5705.45,5757.73
30/09/24,5762.48,5623.89
30/08/24,5648.4,5537.84
31/07/24,5522.3,5471.08
28/06/24,5460.48,5297.15
31/05/24,5277.51,5029.03
30/04/24,5035.69,5257.97
29/03/24,5254.35,5098.51
29/02/24,5096.27,4861.11
31/01/24,4845.65,4745.2
29/12/23,4769.83,4559.43
30/11/23,4567.8,4201.27
31/10/23,4193.8,4284.52
29/09/23,4288.05,4530.6
31/08/23,4507.66,4578.83
31/07/23,4588.96,4450.48
30/06/23,4450.38,4183.03
31/05/23,4179.83,4166.79
28/04/23,4169.48,4102.2
31/03/23,4109.31,3963.34
28/02/23,3970.15,4070.07
31/01/23,4076.6,3853.29
30/12/22,3839.5,4087.14
30/11/22,4080.11,3901.79
31/10/22,3871.98,3609.78
30/09/22,3585.62,3936.73
31/08/22,3955,4112.38
29/07/22,4130.29,3781
30/06/22,3785.38,4149.78
31/05/22,4132.15,4130.61
29/04/22,4131.93,4540.32
31/03/22,4530.41,4363.14
28/02/22,4373.94,4519.57
31/01/22,4515.55,4778.14
31/12/21,4766.18,4602.82
30/11/21,4567,4610.62
29/10/21,4605.38,4317.16
30/09/21,4307.54,4528.8
31/08/21,4522.68,4406.86
30/07/21,4395.26,4300.73
30/06/21,4297.5,4216.52
31/05/21,4204.11,4191.98
30/04/21,4181.17,3992.78
31/03/21,3972.89,3842.51
26/02/21,3811.15,3731.17
29/01/21,3714.24,3764.61
31/12/20,3756.07,3645.87
30/11/20,3621.63,3296.2
30/10/20,3269.96,3385.87
30/09/20,3363,3507.44
31/08/20,3500.31,3288.26
31/07/20,3271.12,3105.92
30/06/20,3100.29,3038.78
29/05/20,3044.31,2869.09
30/04/20,2912.43,2498.08
31/03/20,2584.59,2974.28
28/02/20,2954.22,3235.66
31/01/20,3225.52,3244.67
31/12/19,3230.78,3143.85
29/11/19,3140.98,3050.72
31/10/19,3037.56,2983.69
30/09/19,2976.74,2909.01
30/08/19,2926.46,2980.32
31/07/19,2980.38,2971.41
28/06/19,2941.76,2751.53
31/05/19,2752.06,2952.33
30/04/19,2945.83,2848.63
29/03/19,2834.4,2798.22
28/02/19,2784.49,2702.32
31/01/19,2704.1,2476.96
31/12/18,2506.85,2790.5
30/11/18,2760.17,2717.58
31/10/18,2711.74,2926.29
28/09/18,2913.98,2896.96
31/08/18,2901.52,2821.17
31/07/18,2816.29,2704.95
29/06/18,2718.37,2718.7
31/05/18,2705.27,2643.64
30/04/18,2648.05,2633.45
30/03/18,2640.87,2715.22
28/02/18,2713.83,2816.45
31/01/18,2823.81,2683.73
29/12/17,2673.61,2645.1
30/11/17,2647.58,2583.21
31/10/17,2575.26,2521.2
29/09/17,2519.36,2474.42
31/08/17,2471.65,2477.1
31/07/17,2470.3,2431.39
30/06/17,2423.41,2415.65
31/05/17,2411.8,2388.5
28/04/17,2384.2,2362.34
31/03/17,2362.72,2380.13
28/02/17,2363.64,2285.59
31/01/17,2278.87,2251.57
30/12/16,2238.83,2200.17
30/11/16,2198.81,2128.68
31/10/16,2126.15,2164.33
30/09/16,2168.27,2171.33
31/08/16,2170.95,2173.15
29/07/16,2173.6,2099.34
30/06/16,2098.86,2093.94
31/05/16,2096.96,2067.17
29/04/16,2065.3,2056.62
31/03/16,2059.74,1937.09
29/02/16,1932.23,1936.94
29/01/16,1940.24,2038.2
31/12/15,2043.94,2082.93
30/11/15,2080.41,2080.76
30/10/15,2079.36,1919.65
30/09/15,1920.03,1970.09
31/08/15,1972.18,2104.49
31/07/15,2103.84,2067
30/06/15,2063.11,2108.64
29/05/15,2107.39,2087.38
30/04/15,2085.51,2067.63
31/03/15,2067.89,2105.23
27/02/15,2104.5,1996.67
30/01/15,1994.99,2058.9
31/12/14,2058.9,2065.78
